IdClaveEdo,IdClaveMun,Descripcion
"32","142","VILLA HIDALGO"
"15","142","ATIZAPAN"
"14","142","GUADALAJARA JUAREZ"
"08","143","BOCOYNA"
"08","143","TEMOSACHIC"
"08","143","URIQUE"
"08","143","GUACHOCHI"
"08","143","IGNACIO ZARAGOZA"
"10","143","NAZAS DGO"
"12","143","BUENAVISTA DE CUELLAR"
"12","144","IXCATEOPAN DE CUAUHTEMOC"
"12","144","TEPECOACUILCO DE TRUJANO"
"21","379","SAN MIGUEL XOXTLA"
"21","380","SAN PEDRO CHOLULA"
"21","381","TEHUACAN"
"21","382","TEPANCO DE LOPEZ"
"21","383","TEPEOJUMA"
"21","384","TEZIUTLAN"
"21","385","TILAPA"
"21","386","XOCHILTEPEC"
"21","387","ZOQUITLAN"
"22","388","CORREGIDORA (PUEBLITO)"
"22","389","QUERETARO"
"22","390","SAN JUAN DEL RIO"
"22","391","TEQUISQUIAPAN"
"22","392","EL MARQUES"
"22","393","PEDRO ESCOBEDO"
"23","394","COZUMEL"
"23","395","OTHON P BLANCO"
"24","396","ALAQUINES"
"24","397","AQUISMON"
"24","398","CARDENAS"
"24","399","CIUDAD DEL MAIZ"
"24","400","CIUDAD FERNANDEZ"
"24","401","CIUDAD VALLES"
"24","402","MATEHUALA"
"24","403","RAYON"
"24","404","RIOVERDE"
"24","405","SAN LUIS POTOSI ORIENTE"
"24","406","SANTA CATARINA"
"24","407","SOLEDAD DE GRACIANO SANCHEZ"
"24","408","TAMASOPO"
"24","409","TAMUIN"
"24","410","TANLAJAS"
"24","411","VILLA DE LA PAZ"
"25","412","AHOME"
"25","413","ANGOSTURA"
"25","414","BADIRAGUATO"
"25","415","CULIACAN"
"25","416","EL FUERTE"
"25","417","ESCUINAPA DE HIDALGO"
"25","418","GUASAVE"
"25","419","MAZATLAN"
"25","420","ROSARIO"
"25","421","SALVADOR ALVARADO"
"26","422","AGUA PRIETA"
"26","423","ALTAR"
"26","424","BACUM"
"14","143","GUADALAJARA LIBERTAD REFORMA"
"26","425","CABORCA"
"26","426","CAJEME"
"26","427","EMPALME"
"16","115","CHURINTZIO"
"16","116","NUMARAN"
"16","116","MARAVATIO"
"16","116","CONTEPEC"
"16","116","HUETAMO"
"16","116","SAN LUCAS"
"16","116","TANGANCICUARO"
"16","116","PUREPERO"
"16","116","TLAZAZALCA"
"30","116","TAMPICO ALTO VER"
"16","116","COJUMATLAN DE REGULES"
"16","117","IRIMBO"
"16","117","APORO"
"16","117","TUXPAN"
"16","117","SENGUIO"
"16","117","CHARO"
"16","117","ALVARO OBREGON"
"16","117","CHAVINDA"
"16","117","TANGAMANDAPIO"
"16","117","ZIRACUARETIRO"
"16","117","NUEVO PARANGARICUTIRO"
"16","118","COENEO"
"16","118","JIMENEZ"
"16","118","YURECUARO"
"14","118","DEGOLLADO"
"16","118","NAHUATZEN"
"16","118","ECUANDUREO"
"06","118","CHINICUILA"
"16","118","VILLAMAR"
"16","118","COALCOMAN DE VAZQUEZ PALLARES"
"16","118","TIQUICHEO DE NICOLAS ROMERO"
"16","119","TUMBISCATIO"
"16","119","TUZANTLA"
"16","119","AGUILILLA"
"16","119","HUANIQUEO"
"16","119","IXTLAN"
"16","119","TANCITARO"
"16","119","CARACUARO"
"16","119","CUITZEO"
"16","119","CHUCANDIRO"
"16","119","STA ANA MAYA"
"16","120","HUANDACAREO"
"16","120","COPANDARO"
"16","120","TZITZIO"
"16","120","MARCOS CASTELLANOS"
"16","120","JUAREZ"
"16","120","SUSUPUATO"
"06","120","COAHUAYANA"
